hand-side,label,id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Left,rock,0,0.6531636327239784,1.0,1.0,0.8678310111459859,0.7467255929260297,0.5214811859694208,1.0,0.384249809046147,0.2818768019129135,0.851560515030271,0.10841465574125775,0.09787527170375603,0.5765526232718332,0.049037478052420466,0.0,0.48955272336242805,0.16176280139654,0.700884589481194,0.5275653347773754,0.0,0.26471936071046204,0.6934616460539924,0.23502829288576862,0.10943521617831754,0.6651020025818241,0.33405119060938726,0.059326312389504865,0.29417780709206026,0.2641030542925633,0.754856690010931,0.36488347144979943,0.12152726080992625,0.2863700538114251,0.6032023857491524,0.39903937217368474,0.2250830902182109,0.5386060973137224,0.4547789560484578,0.2860191430189964,0.14177961077590742,0.40310336351887205,0.7347298120846326,0.2477255053933432,0.29058551252718945,0.1786914786559253,0.4889784856549646,0.5380053229212459,0.3126315857066055,0.4204664735003734,0.60643992419991,0.5322922076943666,0.0,0.5872714170053326,0.6890344249899422,0.16109709557625235,0.4852923686294755,0.3095046944848581,0.3479867675100796,0.6412014543327363,0.4192279250361991,0.29047317187094984,0.7159751949403176,0.5979338233840544
Left,rock,1,0.6586964193993612,1.0,1.0,0.8689116642891994,0.7440442459722315,0.5273330767330687,1.0,0.3787057175858954,0.2868268725874619,0.8506451303921311,0.10446566909715868,0.09914607586042719,0.5748336469361529,0.05110723480839107,0.0,0.4885042656197668,0.1656317470078896,0.6985335662393055,0.5249871912480064,0.0,0.25164539219176135,0.6945043543328295,0.23800995915408776,0.0953064149221096,0.663496567511605,0.3365470117885583,0.04470289441132194,0.2934319548309084,0.26873101201186167,0.7435149622293602,0.3639170545720334,0.1219839088638598,0.2611325313338545,0.6036782492927062,0.40395893875948763,0.19942531307148753,0.533220149179372,0.4602101267202447,0.26229004972227155,0.14172940330179734,0.4085716602297101,0.7148514445913688,0.24722080617031494,0.29254428075262107,0.14861264290691473,0.4881056996857115,0.5415900353519398,0.2881553277919433,0.41222260293125956,0.6102053194944305,0.5122858724689076,0.0,0.5929746271520089,0.6612612942499609,0.1620517660006544,0.4914154466577375,0.28008230672973117,0.34774813461500137,0.6456728986331085,0.39586851767865006,0.2836548753292187,0.7201880001896307,0.5789020304899896
Left,rock,2,0.660493186970052,1.0,1.0,0.8714919482373342,0.7429335864251199,0.5301902268658263,1.0,0.37831895231332857,0.2902154156393603,0.8545510060918853,0.10362479614837743,0.10207625798453629,0.5805076420725938,0.04997397073744265,0.0,0.4837911533999445,0.16471830848748736,0.7036558490666045,0.5285877996100214,0.0,0.25984840970262607,0.695992574045361,0.2381013512197454,0.09953529742758974,0.6597395118375309,0.3333817324156395,0.04388252755213876,0.29033691855090815,0.27022535675140635,0.7454416791151508,0.36601620852451666,0.12096037354647816,0.26673236479250345,0.6036647936443928,0.40121363650046304,0.20298196274087058,0.529586258118917,0.45549128905053393,0.2623465374511311,0.1396927195626365,0.4123637226449272,0.7142595400945532,0.24381068453671204,0.2864170631554903,0.15175077080681618,0.4853680736772196,0.5366919640406623,0.29438775805440065,0.4092617011285158,0.6084636714717512,0.5185547405355497,0.0,0.598632755436486,0.6576916615766908,0.16122592668222543,0.4886507103155561,0.2759701840155913,0.3483557320858829,0.6443260634370314,0.3943773840027869,0.28646805287063265,0.7219468294764577,0.5789359032033516
Left,rock,3,0.6611544664589214,1.0,1.0,0.8716188299075959,0.7459429022104433,0.5265387731921131,1.0,0.37716710127112923,0.2875767801995667,0.8492282919709156,0.10017603257046631,0.1004488317338543,0.5716328597925379,0.05278312645213548,0.0,0.48970798532139376,0.1631187784654081,0.715510122300096,0.5304802468230033,0.0,0.26337841040998894,0.6972666180125703,0.2375555985817921,0.0932055027642733,0.6650944185513693,0.33298621226224057,0.031105012580477487,0.29333979480327915,0.2658269445293127,0.7576313109445306,0.36358189398298135,0.12008893996774217,0.2716624190270061,0.6009739829298776,0.4012427970527423,0.20267539180589575,0.5304879696954485,0.45755501239866136,0.26093110692698085,0.14024414574090022,0.4071419309227588,0.7239088018676458,0.24349701961480885,0.28933910516480627,0.15276244473179718,0.4843927183610005,0.5400398604528887,0.2860188520488789,0.4095040242601166,0.6106633816727179,0.5067194170605104,0.0,0.5927541547949781,0.6646233605968405,0.16448366805549655,0.4924422343169368,0.2772009456120819,0.35142995419049494,0.6486422755273872,0.38633989297604754,0.2900009396161475,0.7230981910033324,0.5652224865011268
Left,rock,4,0.6622540542241442,1.0,1.0,0.8753161919158903,0.7453239640384417,0.5266255464462195,1.0,0.3776217515402679,0.28754700015780343,0.8480114667130747,0.10057664280394679,0.10125395753798316,0.570080458360278,0.04944313391511333,0.0,0.4881675671058944,0.15788324965346198,0.7139399766809571,0.53129103912592,0.0,0.26695765391703624,0.6963337471094007,0.23878829289499096,0.09916324989057278,0.6662573858385836,0.33809949293205005,0.039866388312419405,0.2914462661579768,0.26322144936625413,0.758225544062509,0.3622860988580166,0.11790710643438228,0.27393742069933946,0.6000521447749587,0.40049103277233966,0.20370091023737283,0.533834702347735,0.46101714694993107,0.26336713617789503,0.13831915299418251,0.40684719901080774,0.7271990325392083,0.2432129914982183,0.2882924495693664,0.15750298176806396,0.4855474848173295,0.5416090588063414,0.2859871084416657,0.41397300159324124,0.615464859799097,0.5065199379602545,0.0,0.5951033021775771,0.6708785842611557,0.16494381272062794,0.49020740611403507,0.28168192310225315,0.35304517137457353,0.6490981994277223,0.38675661635725894,0.29363608983542927,0.7257788642105526,0.5647175336093897
Left,rock,5,0.6626962057301429,1.0,1.0,0.8765205080115398,0.7474657647304592,0.5276002096498839,1.0,0.3801466973415636,0.2887175640611775,0.8439220507175699,0.10182210856068499,0.10186384029765973,0.5659437067251155,0.04390944791895457,0.0,0.4870653544385428,0.15671663489879387,0.7154523381779581,0.5337387378409189,0.0,0.27091472053397525,0.6994430081545973,0.2378953668708429,0.1060921471212946,0.6658261102706261,0.3332370083118354,0.047983736909343974,0.29001060232659664,0.25926699640838885,0.7624107887559906,0.3685481885066665,0.11980476737283643,0.2853309074050042,0.605143382161473,0.4053953344394309,0.22171668481611895,0.5313623764642494,0.45907849162173614,0.2844866859572443,0.13805785179760552,0.4019338962830023,0.7334856852962656,0.2471345106695154,0.2923461420263236,0.17376525253743186,0.4874196225983223,0.5444750964778592,0.304109434929036,0.4102881788237654,0.6120245834576538,0.5226902330438928,0.0,0.5891145866650086,0.6781939256489048,0.1696320819073129,0.4970111657996669,0.2958885375592946,0.3551772980333938,0.6521281492578574,0.39681423455247994,0.2904722439576704,0.7231538362781801,0.5701904757560536
Left,rock,6,0.6689196601537646,1.0,1.0,0.8790378681011485,0.7459147060710601,0.5345135540566144,1.0,0.3792233174367941,0.2949076314111527,0.8449661276604532,0.1027002580327326,0.10584389285245392,0.5691985632810675,0.039577133211922,0.0,0.48092720770345665,0.15654838259555534,0.7139662267885576,0.5305444741430602,0.0,0.2665386752118281,0.6988633503738283,0.23929069938042533,0.09856736093129694,0.6681317362332719,0.3375427979434553,0.039994695910359875,0.28705533278008727,0.26241493691411516,0.7560964656737,0.3689581206498017,0.11751908100684363,0.27640820948666184,0.6071557172559856,0.4031381195242076,0.2082694235089861,0.5356734006951283,0.4627454305862337,0.2681360376321234,0.13712586519983325,0.4066754696613001,0.7242705589647115,0.24660276373510784,0.28839184722452166,0.16519966670218156,0.4892007315237971,0.5415905602464479,0.29667829860363726,0.414235675078502,0.616144117854241,0.5154511633711969,0.0,0.5954324033655976,0.6671983484187809,0.16721862210755775,0.4933405480200665,0.2866545528557592,0.35462384215192927,0.6492464286627659,0.39363993198110264,0.2920326114031499,0.7260011836034579,0.5714398055603322
Left,rock,7,0.6629894219095676,1.0,1.0,0.8767369099705457,0.7443624826811425,0.5382022141155282,1.0,0.3796874958072488,0.2988200766400135,0.8470570343391488,0.10282638387622194,0.10736657830750809,0.5719109974185196,0.03814576194475676,0.0,0.48974621941803603,0.16360763541356402,0.7230057505911488,0.5265017690809878,0.0,0.2720913208429809,0.6986271099637865,0.23338977335440667,0.10444725472985905,0.6712375507912121,0.33385658867925877,0.04923886305888961,0.2948665455216644,0.2702542305418332,0.7650112286733503,0.3628188830222818,0.11921232628593355,0.2819677032204372,0.6060012270480915,0.39985295183099123,0.21551421731151763,0.5344834309512483,0.4569660492253585,0.27832298819477425,0.14121451764271584,0.4118994526838527,0.7313737547150704,0.24088357861296772,0.2903494719593274,0.16928778875897102,0.48705620244213765,0.5392258146459619,0.3019683722996274,0.41147055994467885,0.6115714565550479,0.5236436956032521,0.0,0.5972141348710779,0.67267227038088,0.16094607487593035,0.48941503630139865,0.29301891814319053,0.35010905649880547,0.6441081000822003,0.401769946031229,0.28700706852491664,0.722287368258168,0.5811809409917523
Left,rock,8,0.6609521815027232,1.0,1.0,0.8764250315127303,0.7407674998296627,0.5298240323001912,1.0,0.37672936552250175,0.2901681467036123,0.8375189043245672,0.09988664830268885,0.1037530873246569,0.5471783017454938,0.05492159619718771,0.0,0.4942123938143592,0.179026661982761,0.690708024571991,0.5094498427345759,0.0,0.26153164175974897,0.6889763101144266,0.2304791299261754,0.10991057680364202,0.6680592797203817,0.3335229902195448,0.061689273654963364,0.2959095084279157,0.2894680257072093,0.7469440181974569,0.33893051558935766,0.1262822855454022,0.2879571036994533,0.5938244326714445,0.3984440466467453,0.23096553343302478,0.5334903115750799,0.4564817084339503,0.290769480909479,0.14352110193158787,0.43500328728770893,0.7324834025403775,0.22508704936132876,0.30467980578898884,0.1988350734441735,0.4732887361373809,0.5446442871540937,0.34165300379255586,0.4032456455437487,0.6176910940606719,0.55996178332543,0.0,0.6206810658422048,0.6919475984796104,0.14220094717127682,0.502530282423585,0.33398952592292735,0.33056290815778766,0.6482057957138724,0.45139769367893956,0.270821266155659,0.7248708312723263,0.6284303524161438
Left,rock,9,0.670781402616391,1.0,1.0,0.8826111959468099,0.7307098693958173,0.5147379940379175,1.0,0.3605105953519926,0.2746274628559154,0.8367001687713432,0.0869109545807623,0.0915168693005119,0.5446039028289451,0.05025982773427834,0.0,0.491646789227287,0.1750468333922197,0.67734786881036,0.5178321217188836,0.0,0.22273984559387877,0.6941000992811988,0.22669655534721112,0.06361496082192401,0.6654029457662226,0.32418720300439463,0.0066001024446453276,0.29284740218659644,0.2839010021265249,0.7263436613533272,0.3408859792587316,0.12290528914078425,0.23347053536185458,0.5953993239773803,0.38971690002862713,0.17699198635287672,0.5341977871606581,0.44578067195717486,0.23851725677693594,0.14100808910805585,0.4289554973602596,0.7007767718258896,0.22273800541862457,0.30124578808237384,0.12354125030820079,0.4698926250069457,0.5355481657233824,0.27534753304838017,0.39472611309755334,0.6028550394582632,0.5035056529260274,0.0,0.6121754027980498,0.6494663258476125,0.14464661449773286,0.499503546193141,0.26344386286291316,0.3272691243505383,0.642316831482273,0.3848781461145671,0.2586827533896529,0.7132561326711597,0.5660643554835867
